Datetime,"300037936 (Kanalpromenade, Abschnitt 6)","353413873 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Münster)","353413874 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Weg von Münster)","353426355 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Münster)","353426357 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Münster)","353426358 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Weg von Münster)","353426360 (Kanalpromenade, Abschnitt 6 Fahrräder Richtung Weg von Münster)",300037936-status,353413873-status,353413874-status,353426355-status,353426357-status,353426358-status,353426360-status
2025-11-01 22:00,0,0,0,,,,,0,0,0,,,,
2025-11-01 22:15,2,1,1,,,,,0,0,0,,,,
2025-11-01 22:30,1,0,1,,,,,0,0,0,,,,
2025-11-01 22:45,2,2,0,,,,,0,0,0,,,,
2025-11-01 23:00,1,0,1,,,,,0,0,0,,,,
2025-11-01 23:15,0,0,0,,,,,0,0,0,,,,
2025-11-01 23:30,0,0,0,,,,,0,0,0,,,,
2025-11-01 23:45,0,0,0,,,,,0,0,0,,,,
2025-11-02 00:00,0,0,0,,,,,0,0,0,,,,
2025-11-02 00:15,1,1,0,,,,,0,0,0,,,,
2025-11-02 00:30,0,0,0,,,,,0,0,0,,,,
2025-11-02 00:45,0,0,0,,,,,0,0,0,,,,
